profile input_tile     calls=80 total_cycles=1014245 avg=12678
profile stem.conv      calls=5000 total_cycles=496545000 avg=99309
profile stem.relu      calls=5000 total_cycles=14774670 avg=2954
profile blk0.conv1     calls=5000 total_cycles=2174370000 avg=434874
profile blk0.relu1     calls=5000 total_cycles=14754345 avg=2950
profile blk0.conv2     calls=5000 total_cycles=2174360000 avg=434872
profile blk0.add       calls=5000 total_cycles=21105000 avg=4221
profile blk1.conv1     calls=5000 total_cycles=2174439480 avg=434887
profile blk1.relu1     calls=5000 total_cycles=14739266 avg=2947
profile blk1.conv2     calls=5000 total_cycles=2174429480 avg=434885
profile blk1.add       calls=5000 total_cycles=21105000 avg=4221
profile blk2.conv1     calls=5000 total_cycles=2174481035 avg=434896
profile blk2.relu1     calls=5000 total_cycles=14723400 avg=2944
profile blk2.conv2     calls=5000 total_cycles=2174471035 avg=434894
profile blk2.add       calls=5000 total_cycles=21105000 avg=4221
profile blk3.conv1     calls=5000 total_cycles=2174505935 avg=434901
profile blk3.relu1     calls=5000 total_cycles=14672730 avg=2934
profile blk3.conv2     calls=5000 total_cycles=2174495935 avg=434899
profile blk3.add       calls=5000 total_cycles=21105000 avg=4221
profile blk4.conv1     calls=5000 total_cycles=2174522520 avg=434904
profile blk4.relu1     calls=5000 total_cycles=14661148 avg=2932
profile blk4.conv2     calls=5000 total_cycles=2174512520 avg=434902
profile blk4.add       calls=5000 total_cycles=21105000 avg=4221
profile blk5.conv1     calls=5000 total_cycles=2174534480 avg=434906
profile blk5.relu1     calls=5000 total_cycles=14646303 avg=2929
profile blk5.conv2     calls=5000 total_cycles=2174524480 avg=434904
profile blk5.add       calls=5000 total_cycles=21105000 avg=4221
profile blk6.conv1     calls=5000 total_cycles=2174535660 avg=434907
profile blk6.relu1     calls=5000 total_cycles=14636817 avg=2927
profile blk6.conv2     calls=5000 total_cycles=2174525660 avg=434905
profile blk6.add       calls=5000 total_cycles=21105000 avg=4221
profile head.conv      calls=5000 total_cycles=59265000 avg=11853
profile record.total   calls=5 total_cycles=3122289969 avg=2342444912
